فارسی,english
لانزوپرازول30 خارجي کپسول,LANSOPRAZOLE 30 MG CAP
ياز قرص (کنتراسپتيو28عددي,YAZ  TABLET
لانزوپرازول15قرص خارجي 28عددي,LANSOPRAZOLE 15 MG 28 CAP
ميگراگل قرص,VITAMIN K (PHYTONADIONE)
فوليک اسيد 5  ميلي گرمي,FOLIC ACID 5 MG TAB
کارويديلول25آپو,APO-CARVEDILOL 25 MG TAB
استامينوفن 500 ميلي قرص,ACETAMINOPHEN 500 MG TAB
کلوزاپين 100 قرص کلوزاپکس,CLOZAPEX (CLOZAPINE 100 MG TAB
فلووکسامين قرص 50 ميلي گرم,FLUVOXAMINE 50 MG TAB
بکلوفن 10 خارجي,بکلوفن 10 خارجي
سيتريزين قرص 10 ميلي گرم,CETIRIZINE 2 HCl 10 MG TAB IRANI
نيتروگليسرين 2/6,NITROMINT (NITROGLYCERIN SR 2.6 MG
هيلودرم(آلوورا)قرص,هيلودرم(آلوورا)قرص
متفورمين خارجي بروت قرص,BROT (METFORMIN HCL 500 MG TAB
آملوديپين قرص 5 ميلي گرم,AMLODIPINE BESYLATE 5 MG TABLET
نيچرگيفت فمي کامفورت,NATURE'S GIFTS FEMI COMFORT SOFTGEL
نيچرگيفت بترفرو قرص (آهن واسيد فوليک,NATURE'S GIFTS BETTER FERRO TAB
نيچرگيفت جينک سيگ,NATURE'S GIFTS NRG SOFTGEL
نيچرگيفت سنيور سافت ژل,NATURE'S GIFTS SENIOR SOFTGEL
سيناريزين قرص 25 ميلي گرم,CINNARIZINE 25 MG TAB
نيچرگيفت اس ايکس قرص,NATURE'S GIFTS SX TAB
نيچرگيفت ب کمپلکس باويتامين ث واي,NATURE'S GIFTS B COMPLEX PLUS C TAB
نيچرگيفت کلسي بالانس,NATURE'S GIFTS CALCIBALANCE TAB
نيچرگيفت هلتون قرص,NATURE'S GIFTS HEALTHON TAB
اکسي بوتينين قرص,OXYBUTYNIN CHLORIDE 5 MG TAB IRANI
نيچرگيفت شيلد سي قرص,NATURE'S GIFTS C SHIELD TAB
نيچرگيفت رويال ژل,NATURE'S GIFTS QUEEN'S CHOICE SOFTG
آرترواستاپ(گلوکوزامين باکندرتين قرص,آرترواستاپ(گلوکوزامين باکندرتين قرص
ديگوکسين قرص ارزان ريختر,DIGOXIN 0.25MG RICHTER TAB
آسپيريمکس 80م قرص  (آسپيرين,ASA 80MG EC TAB
سيناريزين قرص 75 ميلي گرم,CINNARIZINE 75 MG TAB IRANI
اطرفيل قرص گياهي,OTRIFEL HERBAL TAB
دسموپرسين0/1,DESMOPRESSIN ACETATE 0.1MG TAB
جم فيبروزيل قرص 450 ميلي گرم,GEMFIBROZIL 450MG TAB
ديکلوفناک  50  قرص,DICLOFENAC SODIUM 50MG EC TAB
لاموتريژين قرص  25 ميلي گرم,LAMOTRIGINE 25 MG TAB ROSE DARU
کلوزاپين قرص 25 ميلي گرم,CLOZAPINE 25 MG TAB IRANI
پلاکينول (هيدروکسي کلروکين خارجي,HYDROXYCHLOROQUINE 200 MG TAB
آزارام 50 ميلي قرص,
اوليوين قرص قوطي,OLIVIN TAB
اورپ 4فورت  پيموزايد  قرص,ORAP (PIMOZIDE 4MG TAB
مداگرن 50 مداوا,MODAGREN (SUMATRIPTAN SUCCINATE 50MG FC TAB
کلاريترومايسين قرص 250 ميلي گرم,CLARITHROMYCIN 250 MG TAB
کلاريترومايسين (کلاسيد) 500م قرص,KLACID (CLARITHROMYCIN 500 MG TAB
الانزاپين قرص 5 ميلي گرم,OLANZEPINE 5 MG TAB
کلوزام (کلوبازام) قرص,CLOBAZAM 10 MG TAB
کارتيژن فورت  قرص,
آتورواستاتين قرص 10 ميلي گرم,ATORVASTATINE 10 MG TABLET
آتورواستاتين قرص 20 ميلي گرم,ATORVASTATINE 20 MG TABLET
آتورواستاتين قرص 40 ميلي گرم,ATORVASTATINE 40 MG TABLET
زينتوما کپسول,ZINTOMA 250 MG CAP
لوپراميد قرص 2 ميلي گرم,LOPERAMIDE 2 MG TAB IRANI
نوراگل قرص,NEUROGOL TAB
اکي هرب  قرص گل دارو,ECHIHERB (IMMUSTIM TAB
ريسپريدون قرص 4 ميلي گرم,RISPERIDONE 4 MG TAB IRANI
ويتامين کا ايراني قرص (فيتوناديون,VITAMIN K1 10 MG TABLET
پرامي پکسول قرص 0/7 ميلي گرم,PRAMIPEXOLE 0.7 MG TAB
نيچرزاونلي گلوکوژن قرص,NATURES ONLY GLYCOGEN TAB
نچرال ورد بون کمپلکس 60عددي,NATURAL WORLD BONE COMPLEX 60 CAP
هپاتوهيل قرص عددي باريچ,HEPATOHIL TABLET
آساکول (مسالازين)400 خارجي,ASACOL (MESALAZINE 400MG TAB
مسالازين 250 ميلي ايراني,MESALAZINE 250 MG TAB
بروموکريپتين آپو,بروموکريپتين آپو
ديلتيازم قرص 60 ميلي گرم,DILTIAZEM HCL 60MG TAB
جوينت RX انرکس 36عددي,ENEREX JOINT RX TAB
شيف کلسيم منيزيم زينک کپسول,شيف کلسيم منيزيم زينک کپسول
سندروس کلسيم دي قرص 60عددي,SANDROUS CALCIUM PLUS VITAMIN D
گلي کلازيد قرص 80 ميلي گرم,GLICLAZIDE 80 MG TAB IRANI
کلسيا+آهن,کلسيا+آهن
نوتري سنتري کلسيم+د قرص,NUTRI CENTURY CAL PLUS D CAP
جينکوتيدي قرص 40 ميلي گرم,GINKGO TD  4MG TAB
شيکوريدين قرص,CHICORIDIN  200 MG TAB
لايف استيل کلسيم منيزيم,LIFE STYL CAL MAG
هراکلس قرص گياهي ايران داروک,هراکلس قرص گياهي ايران داروک
نيموديپين 30م قرص,NIMOTOP (NIMODIPINE 30 MG TABLET
تربينافين خارجي(لاميزيل)قرص,LAMISIL (TERBINAFINE HCL 250 MG TAB
رولاکس کپسول,RULAX CAP GHAEM DAROU
ديلتيازم قرص 120 ميلي گرم,DILTIAZEM HCL SR 120MG TAB
سيلدنافيل100م ايراني قرص,SILDENAFIL CITRATE 100 MG TAB
بون پاور قرص (کلسيم MgZباروي60عددي,NATURAL WORLD BONE POWER CAP
اوروويتال کلسيم دي 100عددي قرص,EURHO VITAL CALCIUM D TAB
بتانکول 10م قرص,BETHANECHOL CHLORIDE 10 MG TAB
فلوتاميد 250  پرونده اي قرص,FLUTAMIDE 250 MG TAB
اولانزاپين 2/5 باختر(زيپروبايوکس قرص,ZYPROBIOX (OLANZAPIN 2.5 MG TAB
کلوميپرامين قرص 50 ميلي گرم,CLOMIPRAMINE HCL 50 MG TAB
شيرافزا کپسول گل دارو,SHIRAFZA CAP
ممورال قرص,MEMORAL CAP GOL DARU
سوتالول80 قرص(آپو),APO-SOTALOL HCL 80 MG TAB
فلو پنتيکسول قرص,FLUPENTIXOL 2 HCL 0.5 MG TAB
تترابنازين قرص 25 رووکان,REVOCON (TETRABENAZINE 25MG TAB
سرکه سيب100عددي(نچرال ورلد,NATURAL WORLD CIDER VINEGAR COMPLEX
بلادونا ارگوتامين پي بي,BELLADONNA ERGOT PB TAB
پرفوران قرص,PERFORAN  TAB
آب نبات سرد سيم سيم بسته,آب نبات سرد سيم سيم بسته
آب نبات هالتر,آب نبات هالتر
کلداکس روزوشب قرص,کلداکس روزوشب قرص
سان لايف مولتي ويتامين A-Z,سان لايف مولتي ويتامين A-Z
اتيندرونات 200 قرص,ETIDRONATE DISODIUM  200 MG TAB
ث ويتامين سان کيست 7ميوه 90عددي,WEBBER NATURAL SUN KITS TAB
سينگولر 5م قرص(مونته لوکاست,SINGULAIR (MONTELUKAST 5 MG TAB
کاربامازپين(تگرتول) قرص 400 ميلي گرم,TEGRETOL (CARBAMAZEPINE SR 400MG TA
پنتوپرازول 20م باخترشيمي پنتوفارم قرص,PANTOBIOZOLE (PANTOPRAZOL 20 MG TAB
مسالازين 500ميلي قرص ايراني,MESALAZINE 500 MG TAB
سيلدنافيل25م قرص,SILDENAFIL CITRATE 25 MG TAB
آواميگرن (ارگوتامين تارتارات),CLOBAZAM
سوماتريپتان 50 قرص(4 عددي),SUMATRIPTAN SUCCINATE 50 MG FC TAB
توپيرامات قرص 25 ميلي گرم,TOPIRAMATE 25MG TAB
نيچرميد ملاتونين3م قرص,NATURE MADE MELATONIN 3 MG TAB
ول من قرص (وايتابيوتک اورجينال,WELLMAN TAB
سيتريزين آپو قرص,APO-CETIRIZINE 2 HCl 10 MG TAB
آلبندازول 400 قرص,ALBENDAZOLE 400MG TAB
لوپراميدآپوقرص,APO-LOPERAMIDE 2 MG TAB
سيمواستاتين 20 م ايراني قرص,SIMVASTATIN 20 MG TAB
ارکتو قرص100مميلي گرم,ERECTO (SILDENAFIL CITRATE 100 MG TAB
آگنوگل قرص گل دارو,AGNUGOL GOL DARU TAB
سان لايف آهن +ويتامين ث جوشان,SUN LIFE IRON PLUS VITAMIN C EFF TA
داستينکس قرص خارجي نيم 2عددي,DOSTINEX® (CABERGULINE 0.5MG TAB
ول کيدقرص وايتابيوتيک,WELLKID TAB
ول وومن قرص,WELLWOMAN CAP
پلاويکس (کلوپيدوگرل) 75,PLAVIX (CLOPIDOGREL BISULFATE 75MG
سيم سيم آبنبات سرد,سيم سيم آبنبات سرد 3عدد
نيچرزاونلي زينک ث قرص,NATURES ONLY ZINC PLUS VITAMIN C TA
کلسي کر قرص,CALCICARE (CALCIUM MAG D  TAB
سيتالوپرام قرص 40 ميلي گرم,CITALOPRAM HBR 40 MG FC TAB
لاميوودين100 (بيوودين ) قرص,LAMIVUDINE 100 MG TAB
آلفن ايکس 100 قرص,DICLOFENAC SODIUM SR 100MG TAB
ريجندايت 750م قرص,RIGENDIET TAB
آريسپت 5 ميلي خارجي,ARICEP(DONEPEZIL  5 MG TAB
پنتوکسي فيلين آپو قرص,APO-PENTOXIFYLLINE 400MG TAB
کلوزاپين 25 م اسپانيائي قرص,NEMEA (CLOZAPINE 25 MG TAB
ليپتور20 قرص خارجي,LIPITOR (ATORVASTATIN 20 MG TAB
زينک ليناقرص,زينک ليناقرص
کاربامازپين(تگرتول) قرص 200 ميلي گرم,TEGRETOL (CARBAMAZEPINE 200 MG TAB
فوزامکس 70م (آلندرونيت ),FOSAMAX (ALENDRONATE SODIUM 70 MG
ويتامک ويتاتين پلاس قرص,VITAMEC VITATHIN PLUS TAB
لاکتيز خارجي قرص,LACTEEZE TAB
لايف استيل استرس فرمولا آهن,LIFE STYL STRESS FORMULA IRON
تايلانول قرص,BETACAROTENE
وبرنچرال زينک 25 م گ قرص,وبرنچرال زينک 25 م گ قرص
دتروسيتول 2م قرص,DETRUSITOL 2 MG TAB
دتروسيتول 1م خارجي قرص,DETRUSITOL 1 MG TAB
لايف استيل استرس فرمولا زينک قرص,LIFE STYL STRESS FORMULA ZINC
پرومتازين خارجي قرص,PROMETHAZINE HCL 25MG TAB
تربينافين قرص 250 ميلي گرم,TERBINAFINE HCL 250 MG TAB
پلتال100م ورقي گران (سيلوستازول قرص,PLETAL (SILOSTAZOL 100 MG TAB EXPEN
لتيزن قرص (سيتريزن 10م,LETIZEN (CETIRIZINE 2 HCl 10 MG TAB
مادوپار 125 م قرص,MADOPAR (LEVODOPA-B 125 TAB
مادوپار 250 م قرص,MADOPAR (LEVODOPA-B 250 FORTE TAB
سيردالود قرص 4 م (تيزانيدين فارسي نويس,SIRDALUD (TIZANIDINE 4 MG TAB
زاناکس (آلپرازولام ) قرص,XANAX (ALPRAZOLAM 0.5 MG TAB
ديووان قرص(والسارتان) 80 ميلي گرم,DIOVAN (VALSARTAN 80MG TAB
کافئين قرص کارن,
ساينمت (لوودوپا+کاربي دوپا ),ساينمت (لوودوپا+کاربي دوپا )
نيترازپام 5 م قرص خارجي,APO-NITRAZEPAM 5 MG TAB
کوکيوتن 30م قرص گلدن لايف,کوکيوتن 30م قرص گلدن لايف
آسنترا 100م خارجي قرص (سرترالين,ASENTRA (SERTRALIN HCL 100 MG TAB
لووتروکسين هندي,LEVOTHYROXINE 0.1 MG TAB INDIA
ايميگرن قرص,ايميگرن قرص
نوروسک 5م (آملوديپين ) قرص,NORVASC (AMLODIPINE BESYLATE 5MG TA
کورديپين20 (نيفديپين قرص ),CORDIPIN (NIFEDIPINE 20 MG TAB
دياميکرون (گلي کوزايد ),GLICLAZIDE 80MG TAB
توپامکس قرص 50م خارجي قرص,TOPAMAX (TOPIRAMATE 50MG TAB
سابريل 500قرص(ويگاباترين,SABRIL (VIGABATRIN 500 MG TAB
اکسي بوتينين خارجي قرص,OXYBUTYNIN CHLORIDE 5 MG TAB
آلندرونيت 70 ميلي ايراني,ALENDRONATE SODIUM 70 MG TABLET
توپيرامات قرص 50 ميلي گرم,TOPIRAMATE 50MG TAB
توپيرامات 75,TOPIRAMATE 75MG TAB
آريسپت 10 م  خارجي قرص,ARICEP(DONEPEZIL  10 MG TAB
اکسي روکسيم250(سفوروکسيم),CEFUROXIME AXETIL 250 MG FC TAB
اکسي روکسيم500(سفوروکسيم),OXYROXIME (CEFUROXIME 500 MG FC TAB
دکوتان 20 بيمه اي کپسول,DECUTAN (ISOTRETINOIN 20 MG CAP
سيفرول قرص 0/7 ميلي گرم(پرامي پکسول),SIFROL (PRAMIPEXOLE 0.7 MG TAB GERM
ث ويتامين جويدني رفسنجان دارو 500 ميلي گرم,VITAMIN C 500 MG TAB FRUITY
اسويکس قرص 75 ميلي گرم,OSVIX (CLOPIDOGREL BISULFATE 75 MG TAB
اي   200م ايراني,VITAMIN E 200IU
پوزارکس 25م قرص (لوزارتان,POZZAREX (LOSARTAN 25MG TAB
توپيرامات قرص 100 ميلي گرم,TOPIRAMATE 100MG TAB
آلوپورينول 300 قرص,ALLOPURINOL 300 MG TAB
فاراموکس 500 م قرص,AMOXICILLIN 500 MG TAB
دزيپرامين 25 ميلي قرص,DESIPRAMINE HCL 25MG TAB
لاميوويدين 150 ميلي (بيوويدين),LAMIVUDINE 150 MG TAB
ليزينوپريل 10 م قرص,LISINOPRIL 10 MG TAB
افلوکساسين قرص 300 ميلي گرم,OFLOXACIN 300 MG FC TAB
ريسپريدون 3 ميلي گرم,RISPERIDONE 3 MG TAB IRANI
سرترالين قرص 50 ميلي گرم,SERTRALIN HCL 50 MG TAB IRANI
ترازوسين قرص 2 ميلي گرم,TERAZOSIN 2MG TAB
ترازوسين قرص 5 ميلي گرم,TERAZOSIN 5MG TAB
آلندرونيت 35 ميلي,ALENDRONATE SODIUM 35MG TAB
آهن باويتامين ث برونسون قوطي پيوسته رهش رهش 30عددي قرص,آهن باويتامين ث برونسون قوطي پيوسته رهش رهش 30عددي قرص
لوزار قرص 25 ميلي گرم,LOSAR (LOSARTAN 25 MG TAB
آکومارين قرص امگا 3,آکومارين قرص امگا 3
فيناسترايد قرص 1 ميلي گرم,FINASTERIDE 1 MG TAB
مانئه کپسول,مانئه کپسول
فاراموکس 250  قرص,AMOXICILLIN 250 MG TAB
متوهگزال 23.75م قرص,متوهگزال 23.75م قرص
اکسي متولون 50 ميلي,OXYMETHOLONE 50 MG TAB
مجسترول قرص 40 ميلي گرم,MEGESTROL ACETATE 40 MG TAB
آکاربوز قرص 50 ميلي گرم,ACARBOSE 50 MG TAB
آکاربوز قرص 100 ميلي گرم,ACARBOSE 100 MG TAB
اوروويتال آويتامين 800م خارجي  پرل,EURHO VITAL VITAMIN A PEARL
شارکول اکتيوئيت,شارکول اکتيوئيت
گلوکوفاژ قرص 500 ميلي گرم,GLUCOPHAGE (METFORMIN HCL 500 MG TAB
ميگرکسترا قرص,Migrextra (SUMATRIPTAN.85mg+Napro.5
لتروزول قرص 2/5 ميلي گرم,LETROFEM (LETROZOLE 2.5 MG TAB
سرترالين قرص 100 ميلي گرم,SERTRALIN HCL 100 MG TAB
باکلوفن 10 م قرص خارجي,BACLOFEN 10 MG TB CO-PHARMA
مولتي ويتامين مو Hair vit,مولتي ويتامين مو Hair vit
قرص اس سيتالوپرام 10,قرص اس سيتالوپرام 10
سلدرين قرص برانسون,سلدرين قرص
کلاريترومايسن قرص 500 ميلي گرم,CLARITHROMYCIN 500 MG TAB IRANI
مولتي ويتامين Day vit,مولتي ويتامين Day vit
ويتارمونيل امگا 3  100عددي,VITARMONYL OMEGA 3 CAP
نيچرميد مولتي کمپليت قرص,NATURE MADE MULTI COMPLETE TAB
فرفوليک قرص,FERFOLIC TAB
الانزاپين قرص 2/5 ميلي گرم,OLANZAPIN 2.5 MG TAB ABIDI
بوسپيرون 5م خارجي,BUSPIRONE 5 MG TAB
ليدوکائين آمپول 2درصد,LIDOCAINE HCL 2% 5 ML AMP
الانزاپين قرص 15 ميلي گرم,ZYPROBIOX (OLANZAPIN 15 MG TAB
الانزاپين قرص 10  ميلي گرم,ZYPROBIOX (OLANZAPINE 10 MG TAB
گلوتازون قرص 15 ميلي گرم,GLITAZONE (PIOGLITAZONE 15 MG TAB
پريدوستيگمن برومايد 10 ميلي,PYRIDOSTIGMINE BROMIDE 10MG TAB
کلسيم +منيزيم زينک دي ايراني قرص,کلسيم +منيزيم زينک دي ايراني قرص
متوپرولول پي اس 50 قرص,METOPROLOL TARTRATE 50 MG TAB
توپيرامات 200 ميلي قرص,TOPIRAMATE 200MG TAB
مستينون 10 ميلي,MESTINON (PYRIDOSTIGMINE BROMIDE 10 MG TAB
گلوکزامين سولفات ساده(مسلح),GLUCOSAMINE 500 MG CAP IRANI
پنتوپرازول 20 ميلي ايراني,PANTOPRAZOL 20MG TAB IRANI
فلووکسامين 100 (بايووکسامين),BIOVOXAMINE (FLUVOXAMINE 100 MG TAB
ايميگراز قرص 50 ميلي,ايميگراز قرص 50 ميلي
ويتارمونيل جينکوبايلوبا 30 تايي,VITARMONYL GINKGO BILOBA TAB
بانوان مولتي موتيويون قرص,مولتي ويتامين خانم ها قرص
وبرنچرال لاکتين سوئيس,WEBBER NATURALS LACTINE TAB
پرفکتيل قرص ويتابيوتيک,PERFECTIL TAB
نيچرميد گارليک1250م,NATURE MADE GARLIC 1250 MG TAB
دونئورين 25م هگزال قرص (دوکسپين,DONEURIN (DOXEPIN HCL 25MG CAP
ايزوترتينوئين 20م هگزال,ISOTRETINOIN 20 MG CAP HEXAL
مولتي کمپلکس قرص  آقايان 30عددي اسي,مولتي کمپلکس قرص  آقايان 30عددي اسي
وردنافيل (بيوتين 8 عددي ),وردنافيل (بيوتين 8 عددي )
پرگناکر قرص,PREGNACARE ORIGINAL TAB
نيچرميد مولتي ديلي قرص,NATURE MADE MULTI DAILY TAB
آيرونورم کپسول 25 عددي,WALLACE IRONORM CAP
نوتري سنتري فلکسيد100عددي,نوتري سنتري فلکسيد100عددي
سيتالوپرام قرص 20 ميلي گرم,CITALOPRAM HBR 20 MG FC TAB
اي ويتامين 400 نوتراويت,اي ويتامين 400 نوتراويت
زولپيرست 10م قرص ايراني 30عددي,ZOLPIDEM 10 MG TAB IRANI
زولپيدم(زوليور) قرص 5 ميلي گرم,zoliver (ZOLPIDEM 5 MG OSVE TAB
ياسمين قرص21عددي,YASMIN (ETHINYL ESTRADIOL+DROSPIRENONE TAB
وبرنچرال ث جويدني سوئيس90 تايي,WEBBER NATURALS VITAMIN C TAB
بوپروپيون 75 م ايراني قرص (ولبان,BUPROPION 75 MG TAB
آلومنيوم هيدروکسايد قرص,ALUMINIUM HYDROXIDE DRIED GEL 300 TAB
کلسيم جوشان سوپراويت,SUPRA VIT CAL EFF TAB
ث جويدني 500پاد جندي شاپور,shahab darman VITAMIN C 500 MG TAB
منوپيس قرص,MENOPACE ORIGINAL TAB
کام گرين قرص,CAMGREEN GREEN TEA 450 MG TAB
سينره تونيک مو,سينره تونيک مو
نوتري سنتري ويتامين اي 400م کپسول,نوتري سنتري ويتامين اي 400م کپسول
پانتوسک 20 ميلي هندي,PANTOSEC (PANTOPRAZOL 20 MG TAB
اولترا ليکوپن قرص,ULTRA LYCOPENE TAB
زينک ويتامين ث دانا کپسول 10 ميلي گرم,زينک پلاس(ويتامين ث)
اکوفن قرص,ECOPHANE TAB
ويگاريکس کپسول هرعدد,VIGRX CAP
ژرياتريک فارماتون 30 عددي,GERIATRIC PHARMATON 30 CAP
رپاگلينايد قرص 2 ميلي گرم,NOVONORM (REPAGLINIDE 2 MG TAB
آلگومد 100 عددي,ALGOMED 100 TABLETS
اوروويتال زينک پلاس5م کپسول,EURHO VITAL ZINC PLUS 5 MG CAP
جينسانا(جنسينگ کپسول  صدي  فارماتون,GINSANA 100 CAPSULES
دوکسپين کپسول 25 ميلي گرم,DOXEPIN HCL 25MG CAP IRANI
ايميونس قرص (ويتابيوتک,IMMUNACE TAB
کارويدلول 12/5 ايراني,CARVEDILOL 12.5 MG TAB IRANI
فلوکسيا زينک پلاس کپسول,FLOXIA HAIR AND NAILS TAB
ويتامک مگاترون قرص,VITAMEC MEGATRON TAB
کولوفک 135 ميلي(مبورين),COLOFAC (MEBEVERIN HCL 135 MG TAB
منوويتال هلث ايد قرص,HEALTH AID MENOVITAL TAB
ازتيماب (ازتيکول  قرص,EZETIMIBE 10 MG TAB
بوپروپيون 100 م ايراني قرص,BUPROPION 100 MG TAB
پانتوسک 40 ميلي هندي,PANTOSEC (PANTOPRAZOL 40 MG TAB
پنتوپرازول 40 ميلي ايراني,PANTOPRAZOL 40MG TAB IRANI
سياليز20م (تادالافيل قرص,CIALIS (TADALAFIL 20 MG TAB
نيچرميد سوي منوپوزقرص,NATURE MADE SOY MENOPAUSE TAB
کاروديلول قرص 6.25 ميلي گرم,CARVEDILOL 6.25 MG TAB IRANI
ادويفن 400 ميلي,ادويفن 400 ميلي
دونپزيل قرص 5 ميلي گرم,DONEPEZIL 5MG TAB
پانتوزول (پنتوپرازول 40 خارجي ),PENTAZOLE (PANTOPRAZOL 40 MG TAB
ايزن پلاس يوروويتال قرص,EURHO VITAL EISEN PLUS TAB
استئوفلکس قرص هلث ايد,استئوفلکس قرص هلث ايد
رتينيت قرص,رتينيت قرص
فارينات قرص(سفورکسيم) 500 ميلي گرم,FARINAT (CEFUROXIME 500 MG FC TAB
بيوتين ايراني ورقي قرص 5 ميلي گرم,
ويژونيس کپسول مکمل چشم,ويژونيس کپسول مکمل چشم
آلگومد 300 عددي,ALGOMED 300 TABLETS
آنتي ايجينگ کلسيم  6 پلاس کپسول,ANTI AGING LIQUID CAL 6 PLUS SOFTGE
مولتي ويتامين formula for men,مولتي ويتامين formula for men
وبرنچرال ملاتونين قرص,WEBBER NATURALS MELATONIN 15 TAB
وبرنچرال سوپر اسليپ,WEBBER NATURALS SUPER SLEEP TAB
کارتيژن 500 م قوطي کپسول,کارتيژن 500 م قوطي کپسول
ليزينوپريل 20 م قرص,LISINOPRIL 20 MG TAB
فورميليد 500م (کلاريترومايسين قرص,FROMILID (CLARITHROMYCIN 500 MG TAB
دونئورين 10م هگزال قرص (دوکسپين,DONEURIN (DOXEPIN HCL 10MG CAP
دوکسپين 10 ايراني کپسول,DOXEPIN HCL 10MG CAP IRANI
تريپل فلکس (گلوکزامين +کندراتين قرص,NATURE MADE TRIPLE FLEX TAB
سلبرکس 200 ميلي خارجي,CELEBREX (CELECOXIB 200 MG CAP
ادويل 200 ميلي ژله اي (32عددي,ادويل 200 ميلي ژله اي (32عددي
اسپيرونولاکتون قرص 100 ميلي گرم,SPIRONOLACTONE 100 MG TAB
امگا 9-6-3  ايراني,
کلوزاپين 100م اسپانيائي قرص,کلوزاپين 100م اسپانيائي قرص
دونپزيل قرص 10 ميلي گرم,DONEPEZIL 10MG TAB
اي ويتامين 1000 ميلي,اي ويتامين 1000 ميلي
وبرنچرال فلکسيد اويل سوئيس,WEBBER NATURALS FLAXSEED CAP
رکوئيپ 1م قرص,ROPINIROLE 1 MG FC TAB
استرپسيلز قرص مکيدني جعبه,استرپسيلز قرص مکيدني جعبه
آکسار آ سي آ,A C A TAB
نيچرميد فوليک اسيد400ميکروگرم,NATURE MADE FOLIC ACID 400 MCG TAB
آنتي ايجينگ کوکيوتن قرمز 100م 60 عددي,ANTI AGING CO Q10 100 MG RED 60 CAP
سلن پلاس يوروويتال کپسول,EURHO VITAL SELEN PLUS TAB
آيرون 27 سنتري قرص,CENTURY IRON 27 MG TAB
سنتروم 30 عددي بالوتئين,سنتروم 30 عددي بالوتئين
کارويدلول 12/5هگزال قرص,CARVEDILOL 12.5 MG TAB HEXAL
گلوتازون قرص 30 ميلي گرم,GLITAZONE (PIOGLITAZONE 30 MG TAB
اي دي ژل اس شربت,ALUMINIUM MG S SUSP
کلسي پروز-دي قرص ايراني,کلسي پروز-دي قرص ايراني
موتيلوو10 قرص(دومپريدون),MOTILIUM (DOMPERIDONE 10 MG TAB
ارليستات ونوستات 120م کپسول,VENUSTATE (ORLISTAT 120MG CAPSULE
لايف استيل سنتراويت 100 تايي,لايف استيل سنتراويت 100 تايي
دپاکين قرص 500 ميلي گرم,DEPAKINE (VALPROATE SODIUM SR 500MG
مستر تامي قرص اکيناسه,مستر تامي قرص اکيناسه
مستر تامي قرص مولتي ويتامين با آهن,مستر تامي قرص مولتي ويتامين با آهن
نيچرميد زينک 30م  سولفات قرص,NATURE MADE ZINC 30 MG TAB
سان لايف زينک پلاس باسيستين و ث,سان لايف زينک پلاس باسيستين و ث
سان لايف زينک پلاس باآهن فمين کپسول,سان لايف زينک پلاس باآهن فمين کپسول
کابرگولين خارجي 1م قرص (کاباسر,CABERGULINE 1 MG TAB
ليزينوپريل 5 م قرص,LISINOPRIL 5 MG TAB
سوماتريپتان 100 قرص(6عددي),SUMATRIPTAN SUCCINATE 100 MG FC TAB
انرژاکس قرص 60عددي,انرژاکس قرص 60عددي
ماکسيکر ايکس قرص 100عددي,ماکسيکر ايکس قرص 100عددي
زولفت 50م (سرترالن قرص,ZOLOFT (SERTRALIN HCL 50 MG TAB
اوروويتال کوکيوتن پلاس 100م کپسول,EURHO VITAL CO Q10 100 MG CAP
ديدروژسترون 10 ميلي,DYDROGESTERONE 10MG TAB
مستر تامي مولتي ويتامين ساده ومينرال,مستر تامي مولتي ويتامين ساده ومينرال
مستر تامي کلسيم د پاستيلي (T.R.Q,مستر تامي کلسيم د پاستيلي (T.R.Q
اي سي دايجستيو ايد اکتيو,اي سي دايجستيو ايد اکتيو
ديووان قرص(والسارتان) 160 ميلي گرم,DIOVAN (VALSARTAN 160 MG TAB
نيترومينت6/5قرص,NITROMINT (NITROGLYCERIN SR 6.5 MG
پردنيزولون 20م قرص,Prednisolone.20mg tab
نيچرگيفت بترسي 500م قرص,NATURE'S GIFTS BETTER C TAB
کارويدلول 6/25 هگزال قرص,CARVEDILOL 6.25 MG TAB HEXAL
لاميزيل قرص خارجي(تربينافين,LAMIISIL (TERBINAFINE HCL TAB
پانتوزول (پنتوپرازول 20 خارجي قرص,PENTAZOLE (PANTOPRAZOL 20 MG TAB
گلوتازون قرص 45 ميلي گرم,GLITAZONE (PIOGLITAZONE 45 MG TAB
نوتري فيت سنتري  60 عددي کپسول,NUTRI CENTURY FIT60 SOFTGELS
نوتري سنتري شارک750م کپسول,نوتري سنتري شارک750م کپسول
واکسن کزاز (تتانوس),TETANUS IMMUNE GLOBULIN 250 IU VIAL
استيل سيستين (فلوموسيل 600م جوشان,FLUMUCIL (ACETYLCYSTEINE 600 MG EFF
ليپوزيک چشمي ژل,LIPOSIC GEL
نوتري سنتري پريم رز,NUTRI CENTURY PRIMROSE SOFTGEL
گرانول پسليوم,گرانول پسليوم
نخ بخيه سليکوني,نخ بخيه سليکوني
تيغ پيستوري,تيغ پيستوري
وزنه امرون,وزنه امرون
ويکريل نخ بخيه 03 پلاس,ويکريل نخ بخيه 03 پلاس
بوژان پنبه توپي 100 گرمي,د
کپرا250قرص50عددي,کپرا250قرص50عددي
ويرابکس قرص(والاسيکلووير) 500 ميلي گرم,ويرابکس 500م (والاسيکلويرقرص
